Round Number,Date,Location,Home Team,Away Team,Result
17,15/12/2018 20:45,John Smith's Stadium,Huddersfield,Newcastle,0 - 1
17,15/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Burnley,1 - 0
17,15/12/2018 20:45,Vicarage Road,Watford,Cardiff,3 - 2
17,15/12/2018 20:45,Molineux Stadium,Wolves,Bournemouth,2 - 0
17,15/12/2018 23:15,Craven Cottage,Fulham,West Ham,0 - 2
17,16/12/2018 19:15,Amex Stadium,Brighton,Chelsea,1 - 2
17,16/12/2018 19:15,St. Mary's Stadium,Southampton,Arsenal,3 - 2
17,16/12/2018 21:45,Anfield,Liverpool,Man Utd,3 - 1
18,22/12/2018 01:45,Molineux Stadium,Wolves,Liverpool,0 - 2
18,22/12/2018 18:15,Emirates Stadium,Arsenal,Burnley,3 - 1
18,22/12/2018 20:45,Vitality Stadium,Bournemouth,Brighton,2 - 0
18,22/12/2018 20:45,Stamford Bridge,Chelsea,Leicester,0 - 1
18,22/12/2018 20:45,John Smith's Stadium,Huddersfield,Southampton,1 - 3
18,22/12/2018 20:45,Etihad Stadium,Man City,Crystal Palace,2 - 3
18,22/12/2018 20:45,St. James' Park,Newcastle,Fulham,0 - 0
18,22/12/2018 20:45,London Stadium,West Ham,Watford,0 - 2
18,22/12/2018 23:15,Cardiff City Stadium,Cardiff,Man Utd,1 - 5
18,23/12/2018 21:45,Goodison Park,Everton,Spurs,2 - 6
19,26/12/2018 18:15,Craven Cottage,Fulham,Wolves,1 - 1
19,26/12/2018 20:45,Turf Moor,Burnley,Everton,1 - 5
19,26/12/2018 20:45,Selhurst Park,Crystal Palace,Cardiff,0 - 0
19,26/12/2018 20:45,King Power Stadium,Leicester,Man City,2 - 1
19,26/12/2018 20:45,Anfield,Liverpool,Newcastle,4 - 0
19,26/12/2018 20:45,Old Trafford,Man Utd,Huddersfield,3 - 1
19,26/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Bournemouth,5 - 0
19,26/12/2018 23:00,Amex Stadium,Brighton,Arsenal,1 - 1
19,27/12/2018 01:15,Vicarage Road,Watford,Chelsea,1 - 2
19,28/12/2018 01:30,St. Mary's Stadium,Southampton,West Ham,1 - 2
20,29/12/2018 20:45,Amex Stadium,Brighton,Everton,1 - 0
20,29/12/2018 20:45,Craven Cottage,Fulham,Huddersfield,1 - 0
20,29/12/2018 20:45,King Power Stadium,Leicester,Cardiff,0 - 1
20,29/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 3
20,29/12/2018 20:45,Vicarage Road,Watford,Newcastle,1 - 1
20,29/12/2018 23:15,Anfield,Liverpool,Arsenal,5 - 1
20,30/12/2018 17:45,Selhurst Park,Crystal Palace,Chelsea,0 - 1
20,30/12/2018 20:00,Turf Moor,Burnley,West Ham,2 - 0
20,30/12/2018 20:00,St. Mary's Stadium,Southampton,Man City,1 - 3
20,30/12/2018 22:15,Old Trafford,Man Utd,Bournemouth,4 - 1
21,01/01/2019 18:15,Goodison Park,Everton,Leicester,0 - 1
21,01/01/2019 20:45,Emirates Stadium,Arsenal,Fulham,4 - 1
21,01/01/2019 23:15,Cardiff City Stadium,Cardiff,Spurs,0 - 3
21,03/01/2019 01:30,Vitality Stadium,Bournemouth,Watford,3 - 3
21,03/01/2019 01:30,Stamford Bridge,Chelsea,Southampton,0 - 0
21,03/01/2019 01:30,John Smith's Stadium,Huddersfield,Burnley,1 - 2
21,03/01/2019 01:30,London Stadium,West Ham,Brighton,2 - 2
21,03/01/2019 01:30,Molineux Stadium,Wolves,Crystal Palace,0 - 2
21,03/01/2019 01:45,St. James' Park,Newcastle,Man Utd,0 - 2
21,04/01/2019 01:45,Etihad Stadium,Man City,Liverpool,2 - 1
22,12/01/2019 18:15,London Stadium,West Ham,Arsenal,1 - 0
22,12/01/2019 20:45,Amex Stadium,Brighton,Liverpool,0 - 1
22,12/01/2019 20:45,Turf Moor,Burnley,Fulham,2 - 1
22,12/01/2019 20:45,Cardiff City Stadium,Cardiff,Huddersfield,0 - 0
22,12/01/2019 20:45,Selhurst Park,Crystal Palace,Watford,1 - 2
22,12/01/2019 20:45,King Power Stadium,Leicester,Southampton,1 - 2
22,12/01/2019 23:15,Stamford Bridge,Chelsea,Newcastle,2 - 1
22,13/01/2019 20:00,Goodison Park,Everton,Bournemouth,2 - 0
